method,model,language,project,func_name,id,side
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.delete,533,0.9942246079444885
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.callbackHooks,534,0.7027134895324707
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.delete,535,0.944898247718811
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.executeHideRecord,536,0.8276304006576538
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.countView,537,0.8999565839767456
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.countClass,538,0.9305590987205505
asap,70B,java,orientechnologies/orientdb,ODatabaseDocumentAbstract.activateOnCurrentThread,539,0.8587957620620728
asap,70B,java,orientechnologies/orientdb,OSecurityShared.authenticate,540,0.9753434062004089
asap,70B,java,orientechnologies/orientdb,OSecurityShared.createMetadata,541,0.9581311345100403
asap,70B,java,orientechnologies/orientdb,OFileClassic.create,542,0.6981780529022217
asap,70B,java,orientechnologies/orientdb,OFileClassic.checkRegions,543,0.9416191577911377
asap,70B,java,orientechnologies/orientdb,OFileClassic.replaceContentWith,544,0.9444676637649536
asap,70B,java,orientechnologies/orientdb,ONodeManager.initReceiveMessages,545,0.926984965801239
asap,70B,java,orientechnologies/orientdb,ONodeManager.initDiscoveryPing,546,0.9308680295944214
asap,70B,java,orientechnologies/orientdb,ONodeManager.initCheckDisconnect,547,0.79930180311203
asap,70B,java,orientechnologies/orientdb,ONodeManager.initCheckLeader,548,0.9799530506134033
asap,70B,java,orientechnologies/orientdb,ODistributedAbstractPlugin.executeOnLocalNode,549,0.8798932433128357
asap,70B,java,orientechnologies/orientdb,ODistributedAbstractPlugin.getNodesWithStatus,550,0.7451257109642029
asap,70B,java,orientechnologies/orientdb,ODistributedAbstractPlugin.installDatabaseFromNetwork,551,0.9746992588043213
asap,70B,java,orientechnologies/orientdb,OConflictResolverDatabaseRepairer.cancelRepairRecord,552,0.6149839162826538
asap,70B,java,orientechnologies/orientdb,OConflictResolverDatabaseRepairer.enqueueRepairCluster,553,0.9312752485275269
asap,70B,java,orientechnologies/orientdb,ODistributedDatabaseImpl.processRequest,554,0.6797846555709839
asap,70B,java,orientechnologies/orientdb,OAbstract2pcTask.getPartitionKey,555,0.8740255236625671
asap,70B,java,orientechnologies/orientdb,OSequenceCached.nextWithNewCurrentValue,556,0.7533559203147888
asap,70B,java,orientechnologies/orientdb,ScalableRWLock.addState,557,0.7264255881309509
asap,70B,java,orientechnologies/orientdb,OPrefixBTreeBucket.getValue,558,0.9038336277008057
